"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"226215_s_at",222.618238852195,1979.07674312696,3.60493101923825,0.00054203224723754,0.00456492783220366,-4.06131425480873,"KDM2B"
"224265_s_at",-57.9271730757853,192.405959579038,-3.60478937513089,0.000542286203817018,0.00456513877700413,-4.06135429838832,"ZAN"
"201304_at",-937.714953996356,2851.58232198052,-3.60463737160465,0.000542558859627935,0.00456550689348519,-4.06139726981974,"NDUFA5"
"219193_at",-116.885394871513,759.597560686206,-3.60432059040234,0.000543127503026129,0.00456836431583723,-4.06148682123006,"WDR70"
"215933_s_at",676.949175685435,2800.42346037872,3.60397851135197,0.000543742192939999,0.00457160647293524,-4.06158352002147,"HHEX"
"230982_at",-34.3128562946212,57.5447699984414,-3.60381678392965,0.00054403303457577,0.00457212423453206,-4.06162923558891,"SOX1"
"225127_at",408.566719998512,1978.09786717357,3.60334954513455,0.000544874120620762,0.00457726393746414,-4.06176130484008,"TMEM181"
"211954_s_at",191.200266192762,1177.19688842628,3.60309337758306,0.000545335776668603,0.00457921321856924,-4.06183370952284,"IPO5"
"219441_s_at",65.2445975700085,179.103077752945,3.60212164043901,0.000547090383981346,0.00459201326925083,-4.06210834516471,"LRRK1"
"203965_at",137.376839190529,647.642999376757,3.6015390221333,0.000548144950534731,0.00459892921687595,-4.0622729901846,"USP20"
"217749_at",141.193825627006,665.186179768054,3.60131720804359,0.000548546951288922,0.00460036663143607,-4.06233567047721,"COPG1"
"221482_s_at",-335.54310860405,1074.11951634152,-3.60007114067106,0.000550810444583188,0.00461634869863728,-4.06268775113927,"ARPP19"
"226779_at",165.7281583744,1007.51961580159,3.60001336760627,0.000550915604610978,0.00461634869863728,-4.06270407374192,"LMBRD2"
"1554992_at",-48.3044643686296,100.12972079818,-3.59798098930451,0.000554627139758991,0.00464429453132023,-4.06327820309718,"RASGRF1"
"1553689_s_at",52.6780065134932,268.373584433624,3.59793225971661,0.000554716420478604,0.00464429453132023,-4.06329196692911,"METTL6"
"225639_at",-1263.56675359487,4836.62236683905,-3.59504795235324,0.00056002531224904,0.00468677499042493,-4.06410649393836,"SKAP2"
"224323_s_at",-41.3302370701306,200.839520399223,-3.59440255674151,0.000561219818156381,0.0046933635921272,-4.06428871155707,"MRO"
"235070_at",47.3435320199818,94.9110704982579,3.59436831229853,0.000561283265668324,0.0046933635921272,-4.06429837952653,"RBFOX1"
"221097_s_at",-33.887271289655,130.277185053414,-3.59292431035709,0.000563964890079986,0.00471381047898791,-4.06470601424639,"KCNMB2"
"224096_at",-63.1746827081709,105.321325278507,-3.59223917394629,0.000565241489645628,0.00472250147800703,-4.06489939811078,"MIR4755"
"206323_x_at",524.252748328596,1191.82456371178,3.590317114554,0.000568837470430475,0.00475055513936137,-4.06544181872631,"OPHN1"
"209445_x_at",197.82393871804,822.416856797104,3.58932702391316,0.000570698289738599,0.00476410045720255,-4.06572117718152,"COA1"
"221819_at",360.190989226268,1476.7421612496,3.58876062409152,0.000571765401295119,0.00477101146361028,-4.06588097315305,"RAB35"
"239020_at",-51.8199253105,249.558888932463,-3.58736271042257,0.000574407212498081,0.00479105104092397,-4.06627530995662,"FUT10"
"231247_s_at",47.5032602402908,181.912299849305,3.58707339848807,0.000574955405462713,0.00479361858325372,-4.0663569128177,NA
"1558603_at",35.9393576888264,97.1053280200854,3.58629432076306,0.000576434083254106,0.00480393853837719,-4.06657664286925,"PLGLB2"
"223781_x_at",78.8046530647704,154.137758907167,3.58584963187814,0.000577279712435024,0.00480697737800452,-4.06670205228571,"ADH4"
"1559920_a_at",26.2936268017345,48.1649302499352,3.58584906494804,0.000577280791271164,0.00480697737800452,-4.06670221216446,"HDHD5-AS1"
"221979_at",-372.01311421221,1268.02185798056,-3.5855891696828,0.000577775558812199,0.00480908930275112,-4.06677550342063,"SMIM27"
"221414_s_at",27.6656049992761,38.9411574587734,3.58545924398716,0.000578023051595855,0.00480914214350277,-4.06681214192669,"DEFB126"
"241601_at",-59.3724999809274,125.559548503308,-3.58410488412545,0.000580608938411244,0.00482761091463465,-4.06719402862272,"WIPF3"
"219251_s_at",58.7153246504504,142.483356911194,3.5840431853449,0.000580727001163743,0.00482761091463465,-4.06721142411435,"DYNC2I1"
"202333_s_at",-668.54274940938,3812.84097121948,-3.58300640291723,0.000582714329653466,0.0048406758502456,-4.06750371579247,"UBE2B"
"1561478_at",-25.0764962042575,38.0764049641443,-3.58287981918381,0.000582957409656435,0.0048406758502456,-4.06753939979477,"LINC00560"
"236876_at",-33.0828198074814,56.8275156825572,-3.58284369548955,0.000583026795983049,0.0048406758502456,-4.06754958296904,"H1-7"
"206584_at",-1796.39924345521,4976.58154609175,-3.58271433903589,0.000583275327877013,0.00484072403822358,-4.06758604781638,"LY96"
"205681_at",-3293.05622490192,5554.56637627633,-3.58219166936577,0.00058428055405369,0.00484704953805855,-4.06773337910919,"BCL2A1"
"1558143_a_at",162.293040908972,673.141756548362,3.581148471549,0.000586291802228144,0.00486171202155338,-4.06802740778229,"BCL2L11"
"226629_at",269.200972260436,765.524257284835,3.58066305469425,0.000587229905470302,0.0048674671674124,-4.06816421034044,"SLC43A2"
"200991_s_at",536.874306354057,3118.54780944688,3.58030779927174,0.000587917364281223,0.00487114083749914,-4.06826432462901,"SNX17"
"229813_x_at",-481.710482328831,2250.987783811,-3.57805118979884,0.000592302009168443,0.00490543146546772,-4.06890014886483,"DAZAP1"
"202298_at",-2202.71664117884,11902.6647677993,-3.57670212014799,0.000594938075101747,0.00492521794593364,-4.06928017357285,"NDUFA1"
"225740_x_at",994.850451338422,3507.18418542585,3.57548751189909,0.000597320918667831,0.0049428925647272,-4.06962226343851,"MDM4"
"223514_at",258.228671861382,976.02702228709,3.57513084392739,0.00059802235436561,0.00494664446831745,-4.06972270721253,"CARD11"
"213122_at",-89.6194263301568,269.41627688266,-3.57451490881164,0.000599235513276604,0.0049546243123032,-4.06989615387994,"TSPYL5"
"203777_s_at",117.515899354907,511.740066594498,3.57412547367994,0.000600003756756294,0.00495892039825561,-4.07000581110602,"RPS6KB2"
"204707_s_at",24.8575004059697,35.2938914440223,3.5739656543891,0.000600319304431298,0.00495947302745376,-4.07005081142081,"MAPK4"
"200703_at",-1621.34358723274,8656.39670677473,-3.57377520952992,0.000600695524787269,0.00496052623222878,-4.07010443373393,"DYNLL1"
"200801_x_at",3518.74213104539,57047.9811192379,3.5731431799539,0.000601945690437227,0.0049687925928765,-4.07028238048298,"ACTB"
"223533_at",206.135754652108,999.317870733501,3.57281438293637,0.00060259703185255,0.00497211113207919,-4.07037494678359,"LRRC8C"
"208669_s_at",-860.945975243689,4341.87506375537,-3.57256952446049,0.000603082526483283,0.00497405906768243,-4.07044387922895,"EID1"
"1556365_at",-36.3420344275191,97.3645708143621,-3.57239750106669,0.000603423828684687,0.00497481662482791,-4.07049230583863,"LY86-AS1"
"211918_x_at",-80.0780699077554,323.245754220332,-3.57209514453036,0.000604024161611558,0.00497770820455343,-4.07057742008731,"PAPPA2"
"220067_at",63.1156763879469,142.143985296528,3.57161261798312,0.00060498339760695,0.00498355386141074,-4.07071324565755,"SPTBN5"
"1554170_a_at",-83.884417354839,230.162974944627,-3.57081172064813,0.000606578725880763,0.00499463234113958,-4.07093866969811,"MBLAC1"
"231779_at",-133.594988854427,337.960099387715,-3.57028462541198,0.000607630835982759,0.0049973640921276,-4.07108701514689,"IRAK2"
"218566_s_at",-633.336196531811,1899.23587877209,-3.57028189776241,0.000607636285013319,0.0049973640921276,-4.07108778278839,"CHORDC1"
"202777_at",354.30354190499,3841.12338902042,3.57026890889353,0.000607662233536049,0.0049973640921276,-4.07109143823757,"SHOC2"
"225101_s_at",195.366523109567,1456.7973762927,3.56948980519642,0.000609220611387145,0.00500811486104445,-4.07131068937512,"SNX14"
"234445_at",43.6787670929893,99.6878896247321,3.56922818478624,0.000609744758675013,0.00501035835280419,-4.07138430808615,"POLR1HASP"
"232231_at",-505.37965689163,1874.9408064205,-3.56906884788886,0.000610064193992166,0.00501091854233351,-4.07142914346083,"RUNX2"
"224436_s_at",-565.397714269368,1440.95118907183,-3.56830950323227,0.000611588693305428,0.00502137229748462,-4.07164280034312,"NIPSNAP3A"
"200822_x_at",-1152.839398953,6608.21287276071,-3.56758361534127,0.000613049398915364,0.00503129389406136,-4.07184702333415,"TPI1"
"209451_at",-1086.43397513728,2647.21640429662,-3.56738390531947,0.000613451855538157,0.00503252585561393,-4.07190320675959,"TANK"
"222244_s_at",1031.12413134124,6225.63522646624,3.56688405382183,0.000614460256975318,0.00503872570101101,-4.07204382094841,"TUG1"
"1552395_at",13.7877007779592,31.6195667257903,3.5663138068588,0.00061561259324989,0.00504459723743635,-4.07220422680044,"TSSK3"
"203173_s_at",188.02588274878,644.028043990748,3.56612400692662,0.000615996588880144,0.00504459723743635,-4.07225761328341,"VPS35L"
"1562081_a_at",66.839626980859,135.300510286276,3.56607428352258,0.000616097224808972,0.00504459723743635,-4.0722715991437,"LINC00424"
"214974_x_at",-909.018812042765,1139.80325980921,-3.5660293995393,0.000616188079546455,0.00504459723743635,-4.07228422372518,"CXCL5"
"225146_at",-90.4724787860085,375.732337671401,-3.5650285901496,0.000618217232765216,0.00505913265204625,-4.07256570319563,"FAM219A"
