"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold","GeneSymbol"
"232458_at",1.62766999378179,3.93799747148632,5.84731818746602,3.80970547886097e-08,2.3064516338913e-07,7.94596327629588,"TRUE","COL3A1"
"1562420_at",1.2911276009711,4.22542627938537,5.84672523498408,3.8204673543425e-08,2.3109199313937e-07,7.94321311576893,"TRUE",NA
"231687_at",1.2110823336816,4.18343286675667,5.84597284240208,3.83416594148413e-08,2.31766747209115e-07,7.93972369288103,"TRUE","ERICH3-AS1"
"1570273_at",1.0889080814644,3.17754084072262,5.84361045838252,3.87749101142682e-08,2.34126804030658e-07,7.92876919935731,"TRUE","LRRTM4-AS1"
"240167_at",1.37832009017265,4.24722553516485,5.84275456655942,3.89330588396847e-08,2.35029810319064e-07,7.92480102159498,"TRUE","LINC01085"
"1555135_at",1.06667800605888,5.15958653901776,5.84104667160976,3.9250530814682e-08,2.36711093347974e-07,7.91688370620038,"TRUE",NA
"1564807_at",1.31750515001162,2.62071475955763,5.84049079984879,3.93544056365155e-08,2.37285192785232e-07,7.91430713337114,"TRUE",NA
"1569486_at",1.19263517628618,4.11745136473774,5.84031365270818,3.93875654416096e-08,2.37406585880278e-07,7.91348605220081,"TRUE","LOC101928401"
"236573_at",1.3157912732508,3.42105969453074,5.84003050387177,3.94406243976682e-08,2.37673993049985e-07,7.91217368078136,"TRUE","MIR133A1HG"
"221305_s_at",1.33195624628261,3.84007035033603,5.83834033147618,3.97588052066447e-08,2.39406682232742e-07,7.90434064226107,"TRUE",NA
"241163_at",1.46368726356635,4.15296821594791,5.83448320754358,4.04943798965887e-08,2.43433779092467e-07,7.88646989713393,"TRUE",NA
"234834_at",1.1734777749337,5.53737802725267,5.83215869600281,4.09441050060358e-08,2.45866989698518e-07,7.87570334352189,"TRUE",NA
"1559988_at",1.70486305362729,7.22028596941033,5.83116609542867,4.11376332747164e-08,2.47001987623009e-07,7.87110662915264,"TRUE","ZNF483"
"205899_at",1.23008446156748,4.90187066055796,5.82823921916276,4.17135266172703e-08,2.50157625073955e-07,7.85755497789118,"TRUE","CCNA1"
"233788_at",1.05832525820992,4.66197689679199,5.82552529851628,4.22545788150392e-08,2.52819993074225e-07,7.84499287450704,"TRUE",NA
"224254_x_at",1.20247161213162,8.74734417964363,5.81662503560029,4.40776903800575e-08,2.62550138525944e-07,7.80381962756061,"TRUE",NA
"1567706_at",1.6155149905855,4.32926460898388,5.81657878839548,4.40873621268091e-08,2.62579142078789e-07,7.80360578082343,"TRUE",NA
"215477_at",1.12480516745804,3.85124985706127,5.81547496162429,4.43188256364532e-08,2.63785302816577e-07,7.79850198904438,"TRUE",NA
"214183_s_at",-1.07737015327635,7.07457080985765,-5.8132336821096,4.47924757872227e-08,2.6634351426497e-07,7.78814067183673,"TRUE","TKTL1"
"242236_at",1.55400970321674,5.9018581317147,5.81236598354724,4.49771764642078e-08,2.67238331143291e-07,7.78412997467413,"TRUE",NA
"1563472_at",1.17999676167131,4.73289603942397,5.81212470941053,4.50286672933427e-08,2.67457075965618e-07,7.78301481382501,"TRUE",NA
"1558714_at",1.24775453716617,4.66319300754557,5.81064249859224,4.53462596593645e-08,2.69197258075543e-07,7.77616468049882,"TRUE",NA
"1559950_at",1.26061356262341,5.808673587781,5.80945422514458,4.56024555524721e-08,2.7060063569909e-07,7.7706737366162,"TRUE",NA
"207135_at",1.50118366374808,4.99760274549667,5.80875280181038,4.57543504401831e-08,2.71472502476073e-07,7.76743280806967,"TRUE","HTR2A"
"1562905_at",1.13386047093402,4.09903123347746,5.80632036222694,4.62849539487381e-08,2.74204123647985e-07,7.7561954900101,"TRUE",NA
"215692_s_at",1.70551982674106,4.82303580210384,5.80582155664288,4.63945046772384e-08,2.74734056452725e-07,7.75389146234551,"TRUE","MPPED2"
"235445_at",1.71822024179418,4.63785865040884,5.80293917900803,4.70325470299124e-08,2.78060608657057e-07,7.74057977450559,"TRUE",NA
"210496_at",1.03746715914478,4.12674918045418,5.80108285759298,4.74480080358959e-08,2.80213851734998e-07,7.73200877542725,"TRUE",NA
"1561995_at",1.40148725858959,4.11973029885209,5.80082987411183,4.75049058300173e-08,2.80458992145146e-07,7.7308408257549,"TRUE",NA
"223767_at",1.08681106287091,6.4077190148934,5.79997734583947,4.76971385213786e-08,2.8132050147318e-07,7.72690517569524,"TRUE","GPR84"
"224421_x_at",1.26545481962722,3.9037938322342,5.79840331930466,4.80540645325088e-08,2.83120256283935e-07,7.7196396603301,"TRUE","PMCHL1"
"233658_at",1.13682021239344,8.13573992400157,5.79709326951687,4.83531268353989e-08,2.84606223460592e-07,7.71359351214445,"TRUE",NA
"238823_at",-1.0437357780315,6.19250115685714,-5.79477696946453,4.88863707692359e-08,2.87466371457085e-07,7.70290527580315,"TRUE","FMNL3"
"232957_x_at",1.12151451224613,4.91477422569129,5.79399670156874,4.90672939645352e-08,2.88344185029123e-07,7.69930540571196,"TRUE",NA
"1555264_a_at",1.2616067541995,4.86820352655881,5.79388857974287,4.90924162430221e-08,2.88398824335149e-07,7.69880659369833,"TRUE","LINC00598"
"237719_x_at",1.92766320754477,5.11066578768629,5.79157006451395,4.96341715222443e-08,2.91256765618073e-07,7.6881116119579,"TRUE","RGS7BP"
"1557354_at",1.02180970923541,4.08247682153889,5.78843356043988,5.03763990778935e-08,2.94896104880495e-07,7.67364736800237,"TRUE","SOS1"
"209583_s_at",-1.20099352370014,5.77214162243809,-5.78683983003065,5.07577002210295e-08,2.97000990965838e-07,7.6662995158482,"TRUE","CD200"
"1566637_at",1.13959457609992,3.17857496519873,5.78113226877827,5.21465896064286e-08,3.04443650478536e-07,7.63999472255699,"TRUE",NA
"208427_s_at",1.03247922605024,3.8462998139868,5.7795865603979,5.25290922887052e-08,3.06447729501169e-07,7.63287354994491,"TRUE","ELAVL2"
"234407_s_at",2.18013980699459,3.99006640546209,5.77869601261096,5.27507155476133e-08,3.07445408012553e-07,7.62877125137594,"TRUE","TRPC7"
"1559640_at",1.69504406147194,3.59205422040291,5.77653278196487,5.32928852330937e-08,3.10208506347216e-07,7.61880790459415,"TRUE","ANKFN1"
"221933_at",1.01782425336518,3.495599600904,5.77518315555377,5.36339046073178e-08,3.1202742438871e-07,7.61259294709759,"TRUE","NLGN4X"
"234433_at",1.36295517698407,3.36292847786172,5.77512098880296,5.36496641329805e-08,3.12085901316173e-07,7.61230669315794,"TRUE","LINC01808"
"1563614_at",1.01986448515289,4.42431899793007,5.77446019573159,5.38174586754712e-08,3.12962088181386e-07,7.60926410790247,"TRUE","MTBP"
"244588_at",1.11370362278318,4.88931305099737,5.77300254391312,5.41894197942308e-08,3.14957640825935e-07,7.60255315644423,"TRUE",NA
"238408_at",1.49085100990404,6.70766823110497,5.76810416303076,5.5457936442152e-08,3.21680742093641e-07,7.58000859526171,"TRUE",NA
"205513_at",1.20566735259405,7.83054933811442,5.76431265290183,5.64597509109937e-08,3.27006025535866e-07,7.56256611063324,"TRUE","TCN1"
"223977_s_at",1.16799717621379,4.41112545547702,5.76165341758543,5.71729501496623e-08,3.30891399326007e-07,7.55033659232114,"TRUE",NA
